source_key,source_name,status,fetched_at,raw_bytes,content_sha256,extracted_count,extracted_unit,doc_label,warnings
cdc_icd10_z_codes,CDC ICD-10-CM — Official Guidelines incl. SDOH Z-Codes (FY 2026),OK,2026-05-22T01:23:49.163144+00:00,838632,992310dd8323de12026e3db40b7e60f94ea997e4808a56e0ea584ee3ea5cc7ea,0,,CDC ICD-10-CM Guidelines,
cms_mln_otp_booklet,CMS MLN Booklet — OTP Medicare Billing & Payment (MLN8296732),OK,2026-05-22T01:22:49.594229+00:00,3378819,b03e94ae7ca777c26f09ed98fe59733842fcdbf47e6c0797294e18ae060835e2,13,G-codes mentioned,MLN OTP Booklet,
cms_ncci_edits,CMS NCCI PTP Edits — Practitioner,OK,2026-05-22T01:23:01.116308+00:00,170165,a0ce4bf2966ce02d5efe1b709bcf312ef7e230321c52faff08be7015acd39c16,0,NCCI edits,NCCI PTP Edits (practitioner),
cms_pub_100_02_ch17,"CMS IOM Pub 100-02, Medicare Benefit Policy Manual, Ch 17 (OTP)",OK,2026-05-22T01:22:47.941695+00:00,355826,2c365f78a35cba22386b31fe9446d3db17485b6fcc552af3db4a4d5e3907d7d1,10,G-codes mentioned,Pub 100-02 Ch 17,
cms_pub_100_04_ch39,"CMS IOM Pub 100-04, Medicare Claims Processing Manual, Ch 39 (OTP)",OK,2026-05-22T01:22:46.986710+00:00,375532,8c0f7934527e11ebb7b9b0773da4f94d11b67c2468c2d698317131d496a8b768,12,G-codes mentioned,Pub 100-04 Ch 39,
ecfr_42_part_8,42 CFR Part 8 — Medications for Treatment of Opioid Use Disorder,OK,2026-05-22T01:23:25.751526+00:00,104517,0b136a303c8707ed437abeabe45b9dba351f77cef136e70d992dac841a6dceaa,25,sections,42 CFR Part 8,
fl_ahca_cbh_handbook,Florida AHCA — Community Behavioral Health Services Handbook,OK,2026-05-22T01:23:00.127028+00:00,2730740,,0,,FL AHCA Community Behavioral Health,
fl_mac_fcso_otp,FCSO (Medicare FL MAC) — OTP Specialty Page,OK,2026-05-22T01:23:00.785488+00:00,172249,2590cede1dd8f73d3e3f3a2a61dbd4986549949ba3e2197279926e827df0f7ea,0,G-codes mentioned,FCSO OTP Specialty Page (HTML),
samhsa_tip_63,SAMHSA Treatment Improvement Protocol (TIP) 63 — MAT,OK,2026-05-22T01:23:42.415467+00:00,3427264,e7f4c2e40a5d5bb11f30889c16a7cd96816c81c175b9304344d9c28b8cb48c36,0,,SAMHSA TIP 63,
simply_provider_resources,Simply Healthcare — FL Healthy Kids Provider Manual,OK,2026-05-22T01:23:24.916389+00:00,3804954,d213e31733a38217fe322b94663a4c6cb2d46b38531ab40b65643b77f0f9c64f,0,,Simply Healthcare Provider Manual,
sunshine_provider_manual,Sunshine Health (Centene MCO) — Provider Manual,OK,2026-05-22T01:23:11.857006+00:00,2278717,c5225ed1f5d9d7cac246becd7460493a5bd8fb759520f0944bc48b784c9064d9,0,,Sunshine Health Provider Manual,
